ProjectName;RepoURL
commercialPaperLoopback;https://github.com/horeaporutiu/commercialPaperLoopback
Loopback4example;https://github.com/CheeSing-Lee/loopback4-example-book.git
jwtrolebasedauthentification;https://github.com/dishantr16/jwt-role-based-authorization.git
maratona3-loopback-com-api;https://github.com/codeedu/maratona3-loopback-com-api
rentmonitor-server-loopback;https://github.com/mathiasarens/rentmonitor-server-loopback
scichat-loopback;https://github.com/SciCatProject/scichat-loopback
inmobiliaria-api-G39;https://github.com/MauricioTIC/inmobiliaria-api-G39
fuelStation;https://github.com/batcoder1/fuelStation
loopbackmysql;https://github.com/bhupi98/loopbackmysql
movies-loopback;https://github.com/axellbrendow/movies-loopback
loopback-hotpot;https://github.com/nhatquang21/loopback-hotpot
loopback-todo-api;https://github.com/JCPedroza/loopback-todo-api.git
flexin-api;https://github.com/flexinai/flexin-api
airin1_mobile_loopback;https://github.com/marie1st/airin1_mobile_loopback
task-service;https://github.com/mschnee/task-service
backend;https://github.com/Ground-Station/backend
bosscar-online-booking-backend-api;https://github.com/mrvndve/bosscar-online-booking-backend-api
quakezone-lb;https://github.com/pptik/quakezone-lb
academic-records-system-backend;https://github.com/softEsteban/academic-records-system-backend
post-manager-backend;https://github.com/softEsteban/post-manager-backend
festivalApi;https://github.com/Romain857/festivalApi
simple-money-tracker;https://github.com/ibrahnerd7/simple-money-tracker
apiLoopbackFly;https://github.com/AleeksanderDgIng/apiLoopbackFly
mascontasbackend;https://github.com/Luifer7/mascontasbackend
Quest_Module_Backend_Loopback4;https://github.com/curaJOY/Quest_Module_Backend_Loopback4
backendProductosLoopback;https://github.com/matias79/backendProductosLoopback
app-pedidos-backend;https://github.com/RMercury/app-pedidos-backend
ecommerce-monolito;https://github.com/matias79/ecommerce-monolito
cipher-backend-with-loopback;https://github.com/ilyesbrh/cipher-backend-with-loopback
backend-Empresa;https://github.com/Proyecto-MisionTIC/backend-Empresa
APILoopback_MisionTic;https://github.com/coronadito/APILoopback_MisionTic
LoopBack-backend-SocialNetwork;https://github.com/pipeduque/LoopBack-backend-SocialNetwork
planner-api;https://github.com/gerarddo/planner-api
app-parqueadero-backend;https://github.com/rubmd/app-parqueadero-backend
PetFriend-Back;https://github.com/alejos17/PetFriend-Back
backend-health-care;https://github.com/cizeskiedson/backend-health-care
devco-backend;https://github.com/zurimokato/devco-backend
