ProjectName;RepoURL
Stefanonest;https://github.com/StefanoAgazzi/nestjs-zero-to-hero
nestjs-course-task-management;https://github.com/arielweinberger/nestjs-course-task-management
Nestjsbackendgit;https://github.com/ptea/nestjs-backend.git
sales-management;https://github.com/LIbanezDev/sales-management-server
BookingAPITS;https://github.com/BaseMax/BookingAPITS
CalorieCounter;https://github.com/ArchitGargPro/Calorie-Counter-back
nestaccesscontrol;https://github.com/nestjsx/nest-access-control
GameServerTracker-API;https://github.com/GameServerTracker/GameServerTracker-API
TravelAPITS;https://github.com/BaseMax/TravelAPITS
KarpullyBackend;https://github.com/AhmedGrati/Karpully-Backend
naruto;https://github.com/Gustavonobreza/naruto-api
planwearbackend;https://github.com/egocentryk/planwear-backend
dofuels;https://github.com/ogticrd/do-fuels-api
craftbeerguide;https://github.com/williamkoller/api-craft-beer-guide
testdrive;https://github.com/devVinit/testdrive-app-api
intercom;https://github.com/recepkefelii/intercom-backend
ConnectEm;https://github.com/piyushsinha24/ConnectEm-Backend
Nestcafe;https://github.com/muhammadmp97/Nestcafe
Veganify;https://github.com/frontendnetwork/Veganify-API
lyricstify;https://github.com/lyricstify/api
letsmeet;https://github.com/kammradt/lets-meet-api
APIBackEnd;https://github.com/AlexanderYovzhenko/API_BackEnd
appointments;https://github.com/JoanManuelVila/appointments-api
waultapp;https://github.com/wault-app/server
basketball;https://github.com/williamkoller/basketball
ummobile;https://github.com/UMMobile/ummobile-api
smartdental;https://github.com/marcode24/smart-dental-backend
ushopapi;https://github.com/rezavafadar/ushop-api
sprintmanagement;https://github.com/math1974/sprint-management-api
drawtext;https://github.com/yubaobin/draw-text-backend
