Metric,Correlation Coefficient,P-Value
Average cyclomatic complexity for classes,0.03870791387569329,0.7433411994663153
Average cyclomatic complexity for methods,0.35273758711054015,0.0020531581072214537
Number of classes with cyclomatic complexity greater than 7,0.3225912844228134,0.005060595506900207
Number of methods with cyclomatic complexity greater than 4,0.22922196573385092,0.04947051667835485
Average lines by class,-0.5474756424231341,4.468659774995235e-07
Average lines by method,-0.38080147423958327,0.0008167136086729314
Median lines of classes,-0.61160663771968,7.09695005951313e-09
Median lines of methods,-0.618219634157119,4.387643161239873e-09
Number of God Classes (more than 50 lines),-0.08678307983934856,0.46220829255919027
Number of God Methods (more than 30 lines,0.11551401521726982,0.3270577101738463
Total lines in classes,0.04536528190006523,0.7011261173600969
Total lines in methods,-0.027626249531000666,0.8152577676538811
Proportion of commented methods (%),0.1685391701021255,0.1511626936952607
Proportion of commented classes (%),-0.2524280510164002,0.030024309314693444
Average LCOM,,
Average methods by class,-0.7118746988565087,1.1580922139235573e-12
Total lignes de code,0.0925526828383793,0.4328645299938847
Ratio commentaires/code,0.07474469836351495,0.5267872138225668
