Projet,Average cyclomatic complexity for classes,Average cyclomatic complexity for methods,Number of classes with cyclomatic complexity greater than 7,Number of methods with cyclomatic complexity greater than 4,Average lines by class,Average lines by method,Median lines of classes,Median lines of methods,Number of God Classes (more than 50 lines),Number of God Methods (more than 30 lines,Total lines in classes,Total lines in methods,Proportion of commented methods (%),Proportion of commented classes (%),Average LCOM,Average methods by class,Total lignes de code,Ratio commentaires/code
academic-records-system-backend-model,4.75,1.0,0,0,52.55555555555556,11.636363636363637,36,13,7,0,946,640,1.82,11.11,0.0,3.0555555555555554,1215,0.03374485596707819
airin1_mobile_loopback-model,7.0,1.0,0,0,69.81818181818181,12.528571428571428,44,12,11,0,1536,877,1.43,9.09,0.0,3.1818181818181817,1712,0.0344626168224299
apiLoopbackFly-model,5.333333333333333,1.1428571428571428,1,0,52.65,11.032786885245901,27,9,7,2,1053,673,13.11,10.0,0.0,3.05,1253,0.0446927374301676
APILoopback_MisionTic-model,5.333333333333333,1.1428571428571428,1,0,49.38095238095238,10.693548387096774,26,9,6,1,1037,663,11.290000000000001,9.52,0.0,2.9523809523809526,1255,0.04302788844621514
app-parqueadero-backend-model,4.857142857142857,1.0,0,0,46.44444444444444,11.019607843137255,28,10,5,0,836,562,1.96,11.11,0.0,2.8333333333333335,1089,0.04040404040404041
app-pedidos-backend-model,4.857142857142857,1.0,0,0,47.111111111111114,11.019607843137255,28,10,5,0,848,562,1.96,11.11,0.0,2.8333333333333335,1099,0.040036396724294813
backend-Empresa-model,5.777777777777778,1.1063829787234043,1,0,55.0,11.313432835820896,31,9,8,1,1155,758,2.99,9.52,0.0,3.1904761904761907,1377,0.029774872912127815
backend-health-care-model,5.625,1.0,0,0,58.972972972972975,11.846774193548388,38,13,15,3,2182,1469,1.61,5.41,0.0,3.3513513513513513,2621,0.018695154521175122
backend-model,5.1875,1.0,0,0,55.1,12.295081967213115,29,12,10,0,2204,1500,0.8200000000000001,5.0,0.0,3.05,2509,0.02510960542048625
backendProductosLoopback-model,5.222222222222222,1.146341463414634,1,0,50.1,11.183333333333334,33,10,6,1,1002,671,3.33,10.0,0.0,3.0,1248,0.03685897435897436
bosscar-online-booking-backend-api-model,6.578947368421052,1.1363636363636365,5,1,83.17073170731707,15.496644295302014,69,16,25,7,3410,2309,5.37,7.32,0.0,3.6341463414634148,4269,0.023424689622862496
cipher-backend-with-loopback-model,5.166666666666667,1.453125,3,2,73.45714285714286,16.19,52,16,18,9,2571,1619,8.0,5.71,0.0,2.857142857142857,2563,0.15060476004682014
commercialPaperLoopback-model,2.6666666666666665,1.6,0,0,37.92307692307692,12.391304347826088,36,7,1,4,493,285,0.0,0.0,0.0,1.7692307692307692,504,0.20833333333333334
devco-backend-model,4.909090909090909,1.2413793103448276,2,1,49.54,11.867647058823529,28,11,16,6,2477,1614,2.94,4.0,0.0,2.72,3040,0.054276315789473686
ecommerce-monolito-model,4.5,1.0,0,0,48.76923076923077,11.381818181818181,28,13,14,0,1902,1252,0.91,5.13,0.0,2.8205128205128207,2334,0.019280205655526992
festivalApi-model,6.6,1.0,0,0,49.3125,10.416666666666666,32,9,4,0,789,500,2.08,12.5,0.0,3.0,1011,0.03857566765578635
flexin-api-model,6.066666666666666,1.3582089552238805,3,1,61.354838709677416,13.082474226804123,45,13,14,7,1902,1269,2.06,6.45,0.0,3.129032258064516,3037,0.15640434639446824
fuelStation-model,5.4,1.0384615384615385,0,0,44.69230769230769,9.435897435897436,31,10,3,0,581,368,2.56,7.69,0.0,3.0,741,0.02834008097165992
inmobiliaria-api-G39-model,4.0,1.1304347826086956,2,0,45.65217391304348,10.529411764705882,25,9,6,0,1050,716,7.3500000000000005,13.040000000000001,0.0,2.9565217391304346,1315,0.03954372623574144
jwtrolebasedauthentification-model,7.0,2.5,1,3,28.357142857142858,8.0,24,4,2,1,397,224,14.290000000000001,35.71,0.0,2.0,585,0.12136752136752137
LoopBack-backend-SocialNetwork-model,5.275,1.255952380952381,4,2,60.44,13.435146443514645,26,13,25,7,4533,3211,6.69,4.0,0.0,3.1866666666666665,5118,0.03360687768659633
loopback-hotpot-model,9.833333333333334,1.6619718309859155,5,1,70.9090909090909,15.383838383838384,47,15,14,14,2340,1523,6.0600000000000005,15.15,0.0,3.0,2666,0.04051012753188297
loopback-todo-api-model,4.0,1.0,0,0,48.411764705882355,11.25,25,11,5,0,823,585,1.92,11.76,0.0,3.0588235294117645,1087,0.03311867525298988
Loopback4example-model,4.583333333333333,1.71875,2,3,53.44,11.867924528301886,46,6,11,8,1336,629,3.77,0.0,0.0,2.12,1838,0.056583242655059846
loopbackmysql-model,5.133333333333334,1.0,1,0,54.83870967741935,11.392523364485982,29,13,11,0,1700,1219,0.93,6.45,0.0,3.4516129032258065,2058,0.02040816326530612
maratona3-loopback-com-api-model,3.6666666666666665,1.2222222222222223,0,1,41.93333333333333,13.1875,27,12,3,2,629,422,3.13,13.33,0.0,2.1333333333333333,882,0.06462585034013606
mascontasbackend-model,5.3,1.0816326530612246,1,0,54.18181818181818,10.985714285714286,40,9,10,0,1192,769,1.43,9.09,0.0,3.1818181818181817,1463,0.02939166097060834
movies-loopback-model,5.21875,1.143835616438356,6,2,72.02272727272727,11.942408376963352,45,11,18,7,3169,2281,9.950000000000001,38.64,0.0,4.340909090909091,3003,0.2780552780552781
PetFriend-Back-model,4.454545454545454,1.101123595505618,2,0,58.07692307692308,12.070866141732283,35,13,17,3,2265,1533,7.87,5.13,0.0,3.2564102564102564,2657,0.025969138125705685
planner-api-model,5.9,1.2826086956521738,2,0,86.88235294117646,18.532258064516128,31,17,6,11,1477,1149,8.06,11.76,0.0,3.6470588235294117,1563,0.035188739603326934
post-manager-backend-model,6.166666666666667,1.088235294117647,1,0,51.8125,11.0,30,9,6,1,829,539,16.330000000000002,18.75,0.0,3.0625,1032,0.05329457364341085
quakezone-lb-model,4.833333333333333,1.0357142857142858,0,0,182.3846153846154,11.365853658536585,31,12,6,0,2371,466,7.32,30.77,0.0,3.1538461538461537,1636,0.5495110024449877
Quest_Module_Backend_Loopback4-model,7.4,1.15625,1,2,57.69047619047619,10.708029197080291,45,9,16,1,2423,1467,1.46,4.76,0.0,3.261904761904762,2730,0.030036630036630037
rentmonitor-server-loopback-model,7.794117647058823,2.1370967741935485,14,15,72.07142857142857,16.737704918032787,51,13,28,27,4036,3063,2.73,1.79,0.0,3.267857142857143,11029,0.0397134826366851
scichat-loopback-model,4.857142857142857,3.4,1,3,53.90909090909091,14.96,26,4,3,5,593,374,0.0,18.18,0.0,2.272727272727273,1453,0.02615278733654508
simple-money-tracker-model,4.75,1.1875,1,1,48.421052631578945,11.94,37,13,7,1,920,597,0.0,5.26,0.0,2.6315789473684212,1174,0.027257240204429302
task-service-model,6.8,2.125,2,1,38.63157894736842,12.514285714285714,25,7,3,3,734,438,0.0,0.0,0.0,1.8421052631578947,1109,0.020739404869251576
