Projet,Average cyclomatic complexity for classes,Average cyclomatic complexity for methods,Number of classes with cyclomatic complexity greater than 7,Number of methods with cyclomatic complexity greater than 4,Average lines by class,Average lines by method,Median lines of classes,Median lines of methods,Number of God Classes (more than 50 lines),Number of God Methods (more than 30 lines,Total lines in classes,Total lines in methods,Proportion of commented methods (%),Proportion of commented classes (%),Average LCOM,Average methods by class,Total lignes de code,Ratio commentaires/code
acore-model,11.4,1.7272727272727273,6,3,44.41463414634146,12.635135135135135,18,7,8,10,1821,935,4.05,0.0,0.0508130081300813,1.8048780487804879,1551,0.15022566086395875
animes-model,7.0,2.121212121212121,3,2,24.4,6.619047619047619,18,6,3,0,610,278,0.0,0.0,0.0,1.68,738,0.0
APIBackEnd-model,12.518518518518519,1.9096045197740112,9,9,76.21621621621621,19.81094527363184,26,13,19,36,5640,3982,5.97,0.0,0.0,2.7162162162162162,10286,0.0030138051720785533
appointments-model,4.25,1.4166666666666667,1,0,20.083333333333332,6.0588235294117645,10,5,1,0,241,103,0.0,0.0,0.0,1.4166666666666667,335,0.0
basketball-model,1.9230769230769231,1.3157894736842106,0,0,20.76271186440678,7.923076923076923,17,6,4,2,1225,618,0.0,0.0,0.03389830508474576,1.3220338983050848,1417,0.0
blogging-model,9.170731707317072,1.2951807228915662,17,3,24.977011494252874,4.144927536231884,13,3,12,0,2173,858,5.3100000000000005,2.3000000000000003,0.0,2.3793103448275863,7809,0.02650787552823665
BookingAPITS-model,6.631578947368421,1.96875,7,1,37.17948717948718,9.822784810126583,26,8,8,2,1450,776,1.27,0.0,0.0,2.0256410256410255,1725,0.002318840579710145
copa-model,3.676470588235294,1.6025641025641026,5,3,28.095238095238095,10.05,17,6,12,7,1770,1005,0.0,0.0,0.16191735953640715,1.5873015873015872,2233,0.11777877295118674
craftbeerguide-model,1.5217391304347827,1.4,0,0,20.296703296703296,6.21259842519685,17,4,4,2,1847,789,0.0,0.0,0.01098901098901099,1.3956043956043955,2178,0.0004591368227731864
darume-model,3.7245508982035926,1.4523809523809523,18,9,22.46031746031746,5.797639123102867,14,2,25,15,5660,3438,0.17,1.19,0.02473513589585018,2.3531746031746033,10177,0.002456519603026432
dofuels-model,3.4285714285714284,1.6,1,1,24.894736842105264,8.105263157894736,24,4,1,1,473,154,0.0,0.0,0.05263157894736842,1.0,669,0.01046337817638266
drawtext-model,5.3076923076923075,1.5,3,1,24.63888888888889,7.236363636363636,12,6,5,2,887,398,43.64,11.11,0.01273148148148148,1.5277777777777777,1252,0.1805111821086262
gawr-model,7.095238095238095,1.6195652173913044,8,2,29.27906976744186,5.306306306306307,20,5,9,0,1259,589,0.9,2.33,0.0,2.5813953488372094,1836,0.004901960784313725
